Reporter Name,Reporter Database Entry [mirbase],Reporter Group [organism],Comment[Contains_Mature_MiRNA],Comment[SPOT_ID]
hsa-mir-517c,hsa-miR-517c,Homo sapiens,yes,NA
hsa-mir-519a-1,hsa-miR-519a,Homo sapiens,yes,NA
hsa-mir-519b,hsa-miR-519c-5p,Homo sapiens,yes,NA
hsa-mir-519dNo2,hsa-mir-519d,Homo sapiens,no,NA
hsa-let-7b-prec,hsa-let-7b,Homo sapiens,yes,NA
hsa-let-7d-v2-precNo1,hsa-let-7i,Homo sapiens,no,NA
hsa-let-7f-1-precNo2,hsa-let-7f,Homo sapiens,yes,NA
hsa-mir-009-3No2,hsa-miR-9*,Homo sapiens,yes,NA
hsa-mir-010b-precNo2,hsa-miR-10b*,Homo sapiens,yes,NA
hsa-mir-015b-precNo2,hsa-miR-15b*,Homo sapiens,yes,NA
hsa-mir-024-1-precNo2,hsa-miR-24-1*,Homo sapiens,yes,NA
hsa-mir-026a-precNo2,hsa-mir-26a-1,Homo sapiens,no,NA
hsa-mir-028-prec,hsa-mir-28,Homo sapiens,no,NA
mmu-mir-125b-2No1,mmu-mir-125b-2,Mus musculus,no,NA
mmu-mir-135a-1No1,mmu-miR-135a,Mus musculus,yes,NA
mmu-mir-140No1,mmu-miR-140,Mus musculus,yes,NA
mmu-mir-106bNo1,mmu-miR-106b,Mus musculus,yes,NA
mmu-mir-192No1,mmu-miR-192,Mus musculus,yes,NA
mmu-let-7a-2No1,mmu-let-7a,Mus musculus,yes,NA
mmu-mir-31No1,mmu-miR-31,Mus musculus,yes,NA
mmu-mir-98No1,mmu-mir-98,Mus musculus,no,NA
mmu-mir-345No1,mmu-mir-345,Mus musculus,no,NA
mmu-mir-224No1,mmu-miR-224,Mus musculus,yes,NA
mmu-mir-181cNo1,mmu-miR-181c,Mus musculus,yes,NA
mmu-mir-335No1,mmu-mir-335,Mus musculus,no,NA
hsa-mir-106aNo1,hsa-miR-106a,Homo sapiens,yes,NA
hsa-mir-135a-1No1,hsa-miR-135a,Homo sapiens,yes,NA
hsa-mir-16-1No1,hsa-miR-16,Homo sapiens,yes,NA
hsa-mir-299No1,hsa-mir-299,Homo sapiens,no,NA
hsa-mir-30c-2No1,hsa-miR-30c,Homo sapiens,yes,NA
hsa-mir-325No1,hsa-miR-325,Homo sapiens,yes,NA
hsa-mir-129-2No2,hsa-miR-129*,Homo sapiens,yes,NA
hsa-mir-15aNo2,hsa-miR-15a*,Homo sapiens,yes,NA
hsa-mir-181b-2No2,hsa-mir-181b-2,Homo sapiens,no,NA
hsa-mir-30c-1No2,hsa-miR-30c-1*,Homo sapiens,yes,NA
hsa-miR-324-5pNo2,hsa-mir-324,Homo sapiens,no,NA
hsa-mir-345No2,hsa-mir-345,Homo sapiens,no,NA
hsa-mir-520a,hsa-mir-520a,Homo sapiens,no,NA
hsa-mir-520c,hsa-mir-520c,Homo sapiens,no,NA
hsa-mir-520eNo2,hsa-mir-520e,Homo sapiens,no,NA
hsa-mir-524,hsa-mir-524,Homo sapiens,no,NA
hsa-mir-526a-1No2,hsa-mir-526a-1,Homo sapiens,no,NA
hsa-mir-526b*,hsa-miR-526b*,Homo sapiens,yes,NA
mmu-mir-370No2,mmu-mir-379,Mus musculus,no,NA
mmu-mir-376aNo2,mmu-miR-376a*,Mus musculus,yes,NA
mmu-mir-377No2,mmu-mir-377,Mus musculus,no,NA
mmu-mir-410No2,mmu-mir-410,Mus musculus,no,NA
mmu-mir-412No2,mmu-mir-412,Mus musculus,no,NA
mmu-mir-429No2,mmu-mir-429,Mus musculus,no,NA
hsa_mir_320_Hcd306 right,hsa-miR-320a,Homo sapiens,yes,NA
hsa-mir-187-precNo2,hsa-mir-187,Homo sapiens,no,NA
hsa-mir-192-2/3No1,hsa-miR-192,Homo sapiens,yes,NA
hsa-mir-194-precNo1,hsa-miR-194,Homo sapiens,yes,NA
hsa-mir-203-precNo2,hsa-mir-203,Homo sapiens,no,NA
hsa-mir-206-precNo1,hsa-miR-206,Homo sapiens,yes,NA
hsa-mir-211-precNo1,hsa-miR-211,Homo sapiens,yes,NA
hsa-mir-219-prec,hsa-mir-219-1,Homo sapiens,no,NA
hsa-mir-222-precNo2,hsa-mir-222,Homo sapiens,no,NA
mmu-let-7g-prec,mmu-let-7g,Mus musculus,yes,NA
mmu-mir-101-prec,mmu-miR-101a,Mus musculus,yes,NA
mmu-mir-123-precNo2,mmu-mir-126,Mus musculus,no,NA
mmu-mir-125b-precNo2,mmu-miR-125b*,Mus musculus,yes,NA
mmu-mir-30aNo1,mmu-miR-30a,Mus musculus,yes,NA
mmu-mir-126No1,mmu-mir-126,Mus musculus,no,NA
mmu-mir-9-2No1,mmu-miR-9,Mus musculus,yes,NA
mmu-mir-293No1,mmu-miR-293,Mus musculus,yes,NA
mmu-mir-301No1,mmu-miR-301a,Mus musculus,yes,NA
mmu-mir-19b-1No1,mmu-miR-19b,Mus musculus,yes,NA
mmu-mir-326No1,mmu-miR-326,Mus musculus,yes,NA
mmu-mir-331No1,mmu-mir-331,Mus musculus,no,NA
mmu-mir-340No1,mmu-mir-340,Mus musculus,no,NA
hsa-mir-20bNo2,hsa-miR-20b*,Homo sapiens,yes,NA
hsa-mir-181dNo2,hsa-mir-181d,Homo sapiens,no,NA
hsa-mir-202,hsa-miR-202,Homo sapiens,yes,NA
hsa-mir-376aNo1,hsa-miR-376a,Homo sapiens,yes,NA
hsa-mir-377No1,hsa-miR-377,Homo sapiens,yes,NA
hsa-mir-379No1,hsa-miR-379,Homo sapiens,yes,NA
hsa-mir-422aNo1,hsa-miR-422a,Homo sapiens,yes,NA
hsa-mir-424No1,hsa-miR-424,Homo sapiens,yes,NA
hsa-mir-429No1,hsa-miR-429,Homo sapiens,yes,NA
hsa-mir-451No2,hsa-mir-451,Homo sapiens,no,NA
hsa-mir-453No2,hsa-mir-453,Homo sapiens,no,NA
hsa-mir-483No2,hsa-mir-483,Homo sapiens,no,NA
hsa-let-7a-1-prec,hsa-let-7a,Homo sapiens,yes,NA
hsa-mir-001b-1-prec1,hsa-miR-1,Homo sapiens,yes,NA
hsa-mir-007-2-precNo2,hsa-miR-7,Homo sapiens,yes,NA
hsa-mir-009-1No2,hsa-miR-9*,Homo sapiens,yes,NA
hsa-mir-017-precNo2,hsa-miR-17,Homo sapiens,yes,NA
hsa-mir-019b-2-prec,hsa-miR-19b,Homo sapiens,yes,NA
hsa-mir-022-prec,hsa-miR-22,Homo sapiens,yes,NA
hsa-mir-030a-precNo1,hsa-miR-30a,Homo sapiens,yes,NA
hsa-mir-030c-prec,hsa-miR-30c,Homo sapiens,yes,NA
hsa-mir-032-precNo1,hsa-miR-32*,Homo sapiens,yes,NA
mmu-mir-24-1No1,mmu-miR-24-1*,Mus musculus,yes,NA
mmu-mir-296No1,mmu-mir-296,Mus musculus,no,NA
mmu-mir-34cNo1,mmu-miR-34c,Mus musculus,yes,NA
mmu-let-7eNo1,mmu-let-7e,Mus musculus,yes,NA
mmu-mir-16-1No1,mmu-miR-16,Mus musculus,yes,NA
mmu-mir-21No1,mmu-miR-21,Mus musculus,yes,NA
mmu-mir-10a-1No1,mmu-mir-10a,Mus musculus,no,NA
mmu-mir-32No1,mmu-mir-32,Mus musculus,no,NA
mmu-mir-219-2No1,mmu-miR-219,Mus musculus,yes,NA
hsa-mir-192No1,hsa-miR-192,Homo sapiens,yes,NA
hsa-mir-196a-2No1,hsa-miR-196a,Homo sapiens,yes,NA
hsa-mir-219-2No1,hsa-mir-219-2,Homo sapiens,no,NA
hsa-mir-346No1,hsa-miR-346,Homo sapiens,yes,NA
hsa-miR-373*No1,hsa-miR-373*,Homo sapiens,yes,NA
hsa-mir-105-2No2,hsa-miR-105*,Homo sapiens,yes,NA
hsa-mir-196a-1No2,hsa-mir-196a-1,Homo sapiens,no,NA
hsa-mir-219-1No2,hsa-mir-219-1,Homo sapiens,no,NA
hsa-mir-296No2,hsa-mir-296,Homo sapiens,no,NA
hsa-mir-34cNo2,hsa-mir-34c,Homo sapiens,no,NA
mmu-mir-486No1,mmu-miR-486,Mus musculus,yes,NA
hsa-mir-520gNo2,hsa-mir-520h,Homo sapiens,no,NA
hsa-mir-521-1No2,hsa-mir-521-1,Homo sapiens,no,NA
hsa-mir-522,hsa-miR-522,Homo sapiens,yes,NA
mmu-mir-1-2No2,mmu-mir-1-2-as,Mus musculus,no,NA
mmu-mir-361No2,hsa-miR-361-3p,Homo sapiens,yes,NA
mmu-mir-365-1No2,mmu-mir-365-1,Mus musculus,no,NA
mmu-mir-379No2,hsa-miR-379*,Homo sapiens,yes,NA
mmu-mir-381No2,mmu-mir-381,Mus musculus,no,NA
mmu-mir-384,mmu-mir-384,Mus musculus,no,NA
mmu-mir-4333p,mmu-miR-433,Mus musculus,yes,NA
mmu-mir-448No2,mmu-mir-448,Mus musculus,no,NA
mmu-mir-451No1,mmu-miR-451,Mus musculus,yes,NA
hsa-mir-196-1-precNo2,hsa-mir-196-1,Homo sapiens,no,NA
